0	0	0
0	28	0
0	56	0
0	84	0
0	112	0
0	140	0
0	168	0
0	196	0
28	0	0
28	28	0
28	56	0
28	84	0
28	112	0
28	140	0
28	168	0
28	196	0
56	0	0
56	28	0
56	56	0
56	84	0
56	112	0
56	140	0
56	168	0
56	196	0
84	0	0
84	28	0
84	56	0
84	84	0
84	112	0
84	140	0
84	168	0
84	196	0
112	0	0
112	28	0
112	56	0
112	84	0
112	112	0
112	140	0
112	168	0
112	196	0
140	0	0
140	28	0
140	56	0
140	84	0
140	112	0
140	140	0
140	168	0
140	196	0
0	0	0
0	28	0
0	56	0
0	84	0
0	112	0
0	140	0
0	168	0
0	196	0
28	0	0
28	28	0
28	56	0
28	84	0
28	112	0
28	140	0
28	168	0
28	196	0
56	0	0
56	28	0
56	56	0
56	84	0
56	112	0
56	140	0
56	168	0
56	196	0
84	0	0
84	28	0
84	56	0
84	84	0
84	112	0
84	140	0
84	168	0
84	196	0
112	0	0
112	28	0
112	56	0
112	84	0
112	112	0
112	140	0
112	168	0
112	196	0
140	0	0
140	28	0
140	56	0
140	84	0
140	112	0
140	140	0
140	168	0
140	196	0
0	0	0
0	28	0
0	56	0
0	84	0
0	112	0
0	140	0
0	168	0
0	196	0
28	0	0
28	28	0
28	56	0
28	84	0
28	112	0
28	140	0
28	168	0
28	196	0
56	0	0
56	28	0
56	56	0
56	84	0
56	112	0
56	140	0
56	168	0
56	196	0
84	0	0
84	28	0
84	56	0
84	84	0
84	112	0
84	140	0
84	168	0
84	196	0
112	0	0
112	28	0
112	56	0
112	84	0
112	112	0
112	140	0
112	168	0
112	196	0
140	0	0
140	28	0
140	56	0
140	84	0
140	112	0
140	140	0
140	168	0
140	196	0
0	0	0
0	28	0
0	56	0
0	84	0
0	112	0
0	140	0
0	168	0
0	196	0
28	0	0
28	28	0
28	56	0
28	84	0
28	112	0
28	140	0
28	168	0
28	196	0
56	0	0
56	28	0
56	56	0
56	84	0
56	112	0
56	140	0
56	168	0
56	196	0
84	0	0
84	28	0
